9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-05-10","3515","3540","3495","3510","1060000","3510"
"2017-05-11","3505","3625","3475","3590","1381100","3590"
"2017-05-12","3450","3485","3325","3435","4068900","3435"
"2017-05-15","3395","3480","3385","3450","1580600","3450"
"2017-05-16","3485","3555","3455","3550","905200","3550"
"2017-05-17","3535","3590","3535","3555","579100","3555"
"2017-05-18","3490","3560","3490","3555","644800","3555"
"2017-05-19","3565","3565","3485","3510","823100","3510"
"2017-05-22","3520","3545","3500","3535","407100","3535"
"2017-05-23","3510","3520","3420","3485","706700","3485"
"2017-05-24","3515","3515","3385","3420","1369200","3420"
"2017-05-25","3420","3550","3395","3530","2266300","3530"
"2017-05-26","3545","3580","3475","3505","962000","3505"
"2017-05-29","3520","3545","3485","3525","737000","3525"
"2017-05-30","3520","3530","3490","3520","493900","3520"
"2017-05-31","3545","3575","3495","3510","809600","3510"
"2017-06-01","3510","3560","3500","3555","460600","3555"
"2017-06-02","3620","3635","3580","3580","1127200","3580"
"2017-06-05","3590","3720","3580","3715","944600","3715"
"2017-06-06","3755","3770","3685","3730","961000","3730"
"2017-06-07","3690","3765","3690","3735","1100300","3735"
"2017-06-08","3730","3775","3655","3665","1081800","3665"
"2017-06-09","3635","3670","3615","3620","921300","3620"
"2017-06-12","3500","3590","3460","3570","1165600","3570"
"2017-06-13","3640","3670","3605","3645","836300","3645"
"2017-06-14","3715","3725","3670","3675","756600","3675"
"2017-06-15","3670","3710","3665","3690","675400","3690"
"2017-06-16","3710","3750","3690","3725","641600","3725"
"2017-06-19","3735","3900","3735","3875","1271500","3875"
"2017-06-20","3900","3910","3845","3885","711300","3885"
"2017-06-21","3885","3900","3855","3875","650300","3875"
"2017-06-22","3880","3930","3870","3885","435400","3885"
"2017-06-23","3885","3905","3835","3865","571800","3865"
"2017-06-26","3860","3905","3855","3885","443500","3885"
"2017-06-27","3875","3880","3810","3820","589200","3820"
"2017-06-28","3785","3810","3700","3710","860300","3710"
"2017-06-29","3745","3845","3680","3840","1255700","3840"
"2017-06-30","3740","3750","3650","3680","1489500","3680"
"2017-07-03","3680","3690","3595","3600","711500","3600"
"2017-07-04","3625","3630","3540","3600","920200","3600"
"2017-07-05","3560","3570","3515","3570","814800","3570"
"2017-07-06","3595","3625","3520","3535","843300","3535"
"2017-07-07","3500","3520","3475","3495","836900","3495"
"2017-07-10","3545","3615","3515","3595","943500","3595"
"2017-07-11","3595","3655","3570","3650","833300","3650"
"2017-07-12","3625","3630","3545","3555","742900","3555"
"2017-07-13","3580","3610","3540","3565","635300","3565"
"2017-07-14","3595","3650","3575","3635","970300","3635"
"2017-07-18","3675","3690","3635","3650","603400","3650"
"2017-07-19","3655","3680","3650","3655","518700","3655"
"2017-07-20","3665","3685","3615","3670","534800","3670"
"2017-07-21","3670","3670","3615","3635","506500","3635"
"2017-07-24","3625","3640","3590","3630","499000","3630"
"2017-07-25","3630","3665","3620","3635","432800","3635"
"2017-07-26","3650","3650","3605","3635","424400","3635"
"2017-07-27","3645","3660","3610","3620","538700","3620"
"2017-07-28","3620","3650","3585","3600","578400","3600"
"2017-07-31","3635","3640","3605","3615","485700","3615"
"2017-08-01","3615","3615","3555","3570","540700","3570"
"2017-08-02","3570","3575","3490","3500","1052200","3500"
"2017-08-03","3480","3535","3450","3510","942400","3510"
"2017-08-04","3570","3570","3510","3515","637500","3515"
"2017-08-07","3745","3815","3690","3735","2202900","3735"
"2017-08-08","3755","3820","3740","3815","1290600","3815"
"2017-08-09","3805","3850","3745","3770","969000","3770"
"2017-08-10","3780","3850","3780","3835","936500","3835"
"2017-08-14","3850","3920","3805","3810","1071700","3810"
"2017-08-15","3850","3855","3785","3810","831600","3810"
"2017-08-16","3820","3845","3800","3820","652000","3820"
"2017-08-17","3835","3910","3825","3910","785200","3910"
"2017-08-18","3850","3925","3850","3905","781400","3905"
"2017-08-21","3905","3920","3875","3900","509200","3900"
"2017-08-22","3880","3940","3845","3850","647600","3850"
"2017-08-23","3885","3900","3850","3855","363300","3855"
"2017-08-24","3820","3880","3815","3845","454500","3845"
"2017-08-25","3870","3950","3855","3935","672100","3935"
"2017-08-28","3915","3940","3895","3910","459200","3910"
"2017-08-29","3870","3900","3865","3875","427200","3875"
"2017-08-30","3900","3905","3780","3820","1518700","3820"
"2017-08-31","3805","3885","3790","3865","659300","3865"
"2017-09-01","3895","3980","3885","3975","926000","3975"
"2017-09-04","3945","3970","3895","3915","490400","3915"
"2017-09-05","3890","3900","3765","3805","878300","3805"
"2017-09-06","3780","3870","3765","3870","781300","3870"
"2017-09-07","3855","3885","3800","3840","565800","3840"
"2017-09-08","3830","3865","3795","3805","525200","3805"
"2017-09-11","3805","3850","3780","3840","437800","3840"
"2017-09-12","3840","3885","3835","3875","578400","3875"
"2017-09-13","3895","3905","3870","3880","328700","3880"
"2017-09-14","3880","3965","3865","3895","765500","3895"
"2017-09-15","3900","3920","3865","3895","516200","3895"
"2017-09-19","3910","3930","3885","3925","512300","3925"
"2017-09-20","3915","3925","3870","3870","566400","3870"
"2017-09-21","3900","3915","3845","3855","894000","3855"
"2017-09-22","3900","4055","3890","4050","1832100","4050"
"2017-09-25","4065","4110","4035","4070","1022800","4070"
"2017-09-26","4070","4190","4060","4125","1382500","4125"
"2017-09-27","4135","4140","4035","4090","929000","4090"
"2017-09-28","4110","4230","4090","4225","1034100","4225"
"2017-09-29","4235","4315","4215","4230","1187000","4230"
"2017-10-02","4260","4285","4235","4260","621900","4260"
"2017-10-03","4300","4375","4300","4355","980100","4355"
"2017-10-04","4345","4345","4245","4255","1423800","4255"
"2017-10-05","4190","4255","4185","4225","846700","4225"
"2017-10-06","4255","4290","4240","4275","714900","4275"
"2017-10-10","4255","4330","4255","4300","996700","4300"
"2017-10-11","4305","4360","4285","4325","750300","4325"
"2017-10-12","4365","4385","4335","4345","703000","4345"
"2017-10-13","4340","4365","4305","4360","564900","4360"
"2017-10-16","4355","4385","4325","4360","623900","4360"
"2017-10-17","4365","4410","4335","4385","630900","4385"
"2017-10-18","4380","4415","4310","4335","1008500","4335"
"2017-10-19","4315","4335","4305","4330","566300","4330"
"2017-10-20","4330","4380","4315","4370","864500","4370"
"2017-10-23","4420","4430","4355","4365","834400","4365"
"2017-10-24","4360","4450","4360","4450","461000","4450"
"2017-10-25","4470","4480","4410","4430","587500","4430"
"2017-10-26","4430","4450","4380","4435","483000","4435"
"2017-10-27","4455","4520","4445","4510","609900","4510"
"2017-10-30","4525","4565","4510","4550","1850300","4550"
"2017-10-31","4575","4615","4540","4570","622900","4570"
"2017-11-01","4605","4765","4590","4760","883700","4760"
"2017-11-02","4775","4905","4775","4905","1069700","4905"
"2017-11-06","5010","5020","4900","4980","1478300","4980"
"2017-11-07","4915","4950","4840","4950","886200","4950"
"2017-11-08","4930","5080","4860","5050","1122400","5050"
"2017-11-09","5350","5440","5160","5260","2429200","5260"
"2017-11-10","5100","5210","5030","5200","1043900","5200"
"2017-11-13","5190","5220","5090","5150","625600","5150"
"2017-11-15","5180","5180","5020","5060","908800","5060"
"2017-11-16","5020","5160","4975","5140","991900","5140"
"2017-11-17","5140","5170","5090","5130","670700","5130"
"2017-11-20","5200","5230","5120","5220","589700","5220"
"2017-11-21","5220","5240","5150","5220","542300","5220"
"2017-11-22","5260","5270","5210","5230","380300","5230"
"2017-11-24","5130","5190","5060","5150","629900","5150"
"2017-11-27","5190","5190","5090","5150","518400","5150"
"2017-11-28","5130","5180","5070","5110","759200","5110"
"2017-11-29","5110","5140","5070","5120","500800","5120"
"2017-11-30","5060","5110","4965","5110","887200","5110"
"2017-12-01","5100","5130","5000","5090","640800","5090"
"2017-12-04","5190","5330","5140","5260","660500","5260"
"2017-12-05","5200","5210","5060","5070","613500","5070"
"2017-12-06","5070","5100","5010","5040","777300","5040"
"2017-12-07","5030","5120","5010","5090","676900","5090"
"2017-12-08","5020","5230","5020","5220","604700","5220"
"2017-12-11","5200","5330","5150","5310","504800","5310"
"2017-12-12","5320","5420","5320","5350","530800","5350"
"2017-12-13","5420","5500","5380","5400","695200","5400"
"2017-12-14","5400","5480","5390","5460","601400","5460"
"2017-12-15","5520","5550","5460","5520","813300","5520"
"2017-12-18","5580","5690","5570","5670","992200","5670"
"2017-12-19","5650","5660","5510","5550","542400","5550"
"2017-12-20","5560","5580","5510","5580","317000","5580"
"2017-12-21","5560","5680","5540","5670","407800","5670"
"2017-12-22","5600","5600","5470","5540","793600","5540"
"2017-12-25","5530","5550","5500","5540","227900","5540"
"2017-12-26","5560","5580","5510","5520","156700","5520"
"2017-12-27","5520","5550","5490","5490","262700","5490"
"2017-12-28","5470","5490","5380","5400","632400","5400"
"2017-12-29","5400","5420","5330","5360","634000","5360"
